Number,Division,Common Name,Latin Binomial,Seed,Phylum,Class,Order,Family,Latin_Binomial,Genus,Phylomatic
33,Cats-ish vs Dogs-ish,Sloth Bear,Melursus ursinus,1,Chordata,Mammalia,Carnivora,Ursidae,Melursus_ursinus,Melursus,ursidae/melursus/Melursus_ursinus
34,Cats-ish vs Dogs-ish,Caspian Seal,Pusa caspica,2,Chordata,Mammalia,Carnivora,Phocidae,Pusa_caspica,Pusa,phocidae/pusa/Pusa_caspica
35,Cats-ish vs Dogs-ish,Brown Hyena,Hyaena brunnea,3,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena_brunnea,Hyaena,hyaenidae/hyaena/Hyaena_brunnea
36,Cats-ish vs Dogs-ish,African Civet,Civettictis civetta,4,Chordata,Mammalia,Carnivora,Viverridae,Civettictis_civetta,Civettictis,viverridae/civettictis/Civettictis_civetta
37,Cats-ish vs Dogs-ish,European Badger,Meles meles,5,Chordata,Mammalia,Carnivora,Mustelidae,Meles_meles,Meles,mustelidae/meles/Meles_meles
38,Cats-ish vs Dogs-ish,Fossa,Cryptoprocta ferox,6,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta_ferox,Cryptoprocta,eupleridae/cryptoprocta/Cryptoprocta_ferox
39,Cats-ish vs Dogs-ish,Tayra,Eira barbara,7,Chordata,Mammalia,Carnivora,Mustelidae,Eira_barbara,Eira,mustelidae/eira/Eira_barbara
40,Cats-ish vs Dogs-ish,Red Panda,Ailurus fulgens,8,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus_fulgens,Ailurus,ailuridae/ailurus/Ailurus_fulgens
41,Cats-ish vs Dogs-ish,Spotted Linsang,Prionodon pardicolor,9,Chordata,Mammalia,Carnivora,Prionodontidae,Prionodon_pardicolor,Prionodon,prionodontidae/prionodon/Prionodon_pardicolor
42,Cats-ish vs Dogs-ish,Falanouc,Eupleres goudotii,10,Chordata,Mammalia,Carnivora,Eupleridae,Eupleres_goudotii,Eupleres,eupleridae/eupleres/Eupleres_goudotii
43,Cats-ish vs Dogs-ish,Giant Forest Genet,Genetta victoriae,12,Chordata,Mammalia,Carnivora,Viverridae,Genetta_victoriae,Genetta,viverridae/genetta/Genetta_victoriae
44,Cats-ish vs Dogs-ish,Greater Grison,Galictis vittata,11,Chordata,Mammalia,Carnivora,Mustelidae,Galictis_vittata,Galictis,mustelidae/galictis/Galictis_vittata
45,Cats-ish vs Dogs-ish,Kinkajou,Potos flavus,13,Chordata,Mammalia,Carnivora,Procyonidae,Potos_flavus,Potos,procyonidae/potos/Potos_flavus
46,Cats-ish vs Dogs-ish,Solongoi,Mustela altaica,14,Chordata,Mammalia,Carnivora,Mustelidae,Mustela_altaica,Mustela,mustelidae/mustela/Mustela_altaica
47,Cats-ish vs Dogs-ish,Common Kusimanse,Crossarchus obscurus,15,Chordata,Mammalia,Carnivora,Herpestidae,Crossarchus_obscurus,Crossarchus,herpestidae/crossarchus/Crossarchus_obscurus
48,Cats-ish vs Dogs-ish,"Grandidier's ""Mongoose""",Galidictis grandidieri,WC,Chordata,Mammalia,Carnivora,Eupleridae,Galidictis_grandidieri,Galidictis,eupleridae/galidictis/Galidictis_grandidieri
49,Cats-ish vs Dogs-ish,Pygmy Spotted Skunk,Spilogale pygmaea,WC,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale_pygmaea,Spilogale,mephitidae/spilogale/Spilogale_pygmaea
50,AnthropoSCENE,Australian Feral Camel,Camelus dromedarius,1,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus_dromedarius,Camelus,camelidae/camelus/Camelus_dromedarius
51,AnthropoSCENE,Florida Panther,Puma concolor couguar,2,Chordata,Mammalia,Carnivora,Felidae,Puma_concolorcouguar,Puma,felidae/puma/Puma_concolor_couguar
52,AnthropoSCENE,Thylacine,Thylacinus cynocephalus,3,Chordata,Mammalia,Dasyuromorphia,Thylacinidae,Thylacinus_cynocephalus,Thylacinus,thylacinidae/thylacinus/Thylacinus_cynocephalus
53,AnthropoSCENE,Trumpeter swan,Cygnus buccinator,4,Chordata,Aves,Anseriformes,Anatidae,Cygnus_buccinator,Cygnus,anatidae/cygnus/Cygnus_buccinator
54,AnthropoSCENE,California Condor,Gymnogyps californianus,5,Chordata,Aves,Cathartiformes,Cathartidae,Gymnogyps_californianus,Gymnogyps,cathartidae/gymnogyps/Gymnogyps_californianus
55,AnthropoSCENE,Common Cuttlefish,Sepia officinalis,6,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia_officinalis,Sepia,sepiidae/sepia/Sepia_officinalis
56,AnthropoSCENE,Gopher Tortoise,Gopherus polyphemus,7,Chordata,Reptilia,Testudines,Testudinae,Gopherus_polyphemus,Gopherus,testudinae/gopherus/Gopherus_polyphemus
57,AnthropoSCENE,House Cat,Felis catus,8,Chordata,Mammalia,Carnivora,Felidae,Felis_catus,Felis,felidae/felis/Felis_catus
58,AnthropoSCENE,Chinchilla,Chinchilla lanigera,9,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla_lanigera,Chinchilla,chinchillidae/chinchilla/Chinchilla_lanigera
59,AnthropoSCENE,Feral Pigeon,Columba livia domestica,10,Chordata,Aves,Columbiformes,Columbidae,Columba_liviadomestica,Columba,columbidae/columba/Columba_livia_domestica
60,AnthropoSCENE,Bogue,Boops boops,11,Chordata,Actinopterygii,Perciformes,Sparidae,Boops_boops,Boops,sparidae/boops/Boops_boops
61,AnthropoSCENE,Little Brown Bat,Myotis lucifugus,12,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis_lucifugus,Myotis,vespertilionidae/myotis/Myotis_lucifugus
62,AnthropoSCENE,Honeybee,Apis mellifera,13,Arthropoda,Insecta,Hymenoptera,Apidae,Apis_mellifera,Apis,apidae/apis/Apis_mellifera
63,AnthropoSCENE,Monarch Butterfly,Danaus plexippus,14,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus_plexippus,Danaus,nymphalidae/danaus/Danaus_plexippus
64,AnthropoSCENE,Chytrid,Batrachochytrium dendrobatidis,15,Fungi,Chytridiomycetes,Rhizophydiales,Batrachochytrium,Batrachochytrium_dendrobatidis,Batrachochytrium,batrachochytrium/batrachochytrium/Batrachochytrium_dendrobatidis
65,AnthropoSCENE,Face Mite,Demodex folliculorum,16,Arthropoda,Arachnida,Trombidiformes,Demodicidae,Demodex_folliculorum,Demodex,demodicidae/demodex/Demodex_folliculorum
