Common,Family,Species,Genus,Epithet,SpPhylo,Phylo
wheat,Poaceae,Triticum aestivum,Triticum,aestivum,Triticum_aestivum,poaceae/triticum/Triticum_aestivum
bulgur,Poaceae,Triticum durum,Triticum,durum,Triticum_durum,poaceae/triticum/Triticum_durum
spelt,Poaceae,Triticum spelta,Triticum,spelta,Triticum_spelta,poaceae/triticum/Triticum_spelta
corn,Poaceae,Zea mays,Zea,mays,Zea_mays,poaceae/zea/Zea_mays
northern wild rice,Poaceae,Zizania palustris,Zizania,palustris,Zizania_palustris,poaceae/zizania/Zizania_palustris
buckwheat,Polygonaceae,Fagopyrum esculentum,Fagopyrum,esculentum,Fagopyrum_esculentum,polygonaceae/fagopyrum/Fagopyrum_esculentum
nigella,Ranunculaceae,Nigella sativa,Nigella,sativa,Nigella_sativa,ranunculaceae/nigella/Nigella_sativa
aronia,Rosaceae,Aronia melanocarpa,Aronia,melanocarpa,Aronia_melanocarpa,rosaceae/aronia/Aronia_melanocarpa
hawthorn,Rosaceae,Crataegus monogyna,Crataegus,monogyna,Crataegus_monogyna,rosaceae/crataegus/Crataegus_monogyna
meadowsweet,Rosaceae,Filipendula ulmaria,Filipendula,ulmaria,Filipendula_ulmaria,rosaceae/filipendula/Filipendula_ulmaria
apple,Rosaceae,Malus domestica,Malus,domestica,Malus_domestica,rosaceae/malus/Malus_domestica
sweet cherry,Rosaceae,Prunus avium,Prunus,avium,Prunus_avium,rosaceae/prunus/Prunus_avium
sour cherry,Rosaceae,Prunus cerasus,Prunus,cerasus,Prunus_cerasus,rosaceae/prunus/Prunus_cerasus
almond,Rosaceae,Prunus dulcis,Prunus,dulcis,Prunus_dulcis,rosaceae/prunus/Prunus_dulcis
peach,Rosaceae,Prunus persica,Prunus,persica,Prunus_persica,rosaceae/prunus/Prunus_persica
pear,Rosaceae,Pyrus communis,Pyrus,communis,Pyrus_communis,rosaceae/pyrus/Pyrus_communis
raspberries,Rosaceae,Rubus idaeus,Rubus,idaeus,Rubus_idaeus,rosaceae/rubus/Rubus_idaeus
blackberries,Rosaceae,Rubus lacinatus,Rubus,lacinatus,Rubus_lacinatus,rosaceae/rubus/Rubus_lacinatus
cinchona,Rubiaceae,Cinchona officinalis,Cinchona,officinalis,Cinchona_officinalis,rubiaceae/cinchona/Cinchona_officinalis
coffee,Rubiaceae,Coffea arabica,Coffea,arabica,Coffea_arabica,rubiaceae/coffea/Coffea_arabica
lady's bedstraw,Rubiaceae,Galium verum,Galium,verum,Galium_verum,rubiaceae/galium/Galium_verum
lime,Rutaceae,Citrus latifolia,Citrus,latifolia,Citrus_latifolia,rutaceae/citrus/Citrus_latifolia
lemon,Rutaceae,Citrus limon,Citrus,limon,Citrus_limon,rutaceae/citrus/Citrus_limon
tangerine,Rutaceae,Citrus reticula,Citrus,reticula,Citrus_reticula,rutaceae/citrus/Citrus_reticula
mandarin orange,Rutaceae,Citrus reticulata,Citrus,reticulata,Citrus_reticulata,rutaceae/citrus/Citrus_reticulata
orange,Rutaceae,Citrus sinensis,Citrus,sinensis,Citrus_sinensis,rutaceae/citrus/Citrus_sinensis
maple,Sapindaceae,Acer saccharum,Acer,saccharum,Acer_saccharum,sapindaceae/acer/Acer_saccharum
star anise,Schisandraceae,Illicium verum,Illicium,verum,Illicium_verum,schisandraceae/illicium/Illicium_verum
bell pepper,Solanaceae,Capsicum annuum,Capsicum,annuum,Capsicum_annuum,solanaceae/capsicum/Capsicum_annuum
tomato,Solanaceae,Solanum lycopersicum,Solanum,lycopersicum,Solanum_lycopersicum,solanaceae/solanum/Solanum_lycopersicum
potato,Solanaceae,Solanum tuberosum,Solanum,tuberosum,Solanum_tuberosum,solanaceae/solanum/Solanum_tuberosum
tea,Theaceae,Camelia sinensis,Camelia,sinensis,Camelia_sinensis,theaceae/camelia/Camelia_sinensis
grapes,Vitaceae,Vitis vinifera,Vitis,vinifera,Vitis_vinifera,vitaceae/vitis/Vitis_vinifera
turmeric,Zingiberaceae,Curcuma longa,Curcuma,longa,Curcuma_longa,zingiberaceae/curcuma/Curcuma_longa
cardamom,Zingiberaceae,Elettaria cardamomum,Elettaria,cardamomum,Elettaria_cardamomum,zingiberaceae/elettaria/Elettaria_cardamomum
ginger,Zingiberaceae,Zingiber officinale,Zingiber,officinale,Zingiber_officinale,zingiberaceae/zingiber/Zingiber_officinale
